House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
7,London Course,Alexander,Singh,36,None,Single,Male,Health and safety adviser,None,Catholic
7,London Course,Leon,Humphries,35,None,Single,Male,Heritage manager,None,None
8,London Course,Helen,Haynes,60,Head,Married,Female,Advice worker,None,None
8,London Course,Luke,Haynes,61,Husband,Married,Male,Economist,None,None
8,London Course,Sandra,Brown-Haynes,25,Daughter,Single,Female,Armed forces operational officer,None,None
8,London Course,Abigail,Brown-Haynes,18,Daughter,Divorced,Female,Student,None,None
8,London Course,Julia,Brown-Haynes,14,Daughter,NA,Female,Student,None,NA
9,London Course,Kim,Brown,65,Head,Widowed,Female,Gaffer,None,None
9,London Course,Pamela,Brown,29,Daughter,Single,Female,Unemployed,None,None
10,London Course,Jason,Elliott,18,Head,Single,Male,University Student,None,None
10,London Course,Glen,Jones,21,None,Single,Male,University Student,None,NA
11,London Course,Amy,Parsons,27,Head,Single,Female,Outdoor activities/education manager,None,Christian
11,London Course,Brandon,Parsons,9,Son,NA,Male,Student,None,NA
11,London Course,Kerry,Parsons,6,Daughter,NA,Female,Student,None,NA
11,London Course,Rachel,Parsons,2,Daughter,NA,Female,Child,None,NA
12,London Course,Damian,Bailey,52,Head,Married,Male,Freight forwarder,None,Christian
12,London Course,Charlene,Bailey,50,Wife,Married,Female,Unemployed,None,None
12,London Course,Teresa,Bailey,28,Daughter,Single,Female,Legal executive,None,Christian
12,London Course,Leah,Brown-Bailey,27,Daughter,Single,Female,Research scientist (medical),None,Christian
13,London Course,Jodie,Fisher,39,Head,Single,Female,"Engineer, materials",None,Methodist
14,London Course,Naomi,Cooper,42,Head,Single,Female,Music tutor,None,Christian
14,London Course,Joe,Roberts,40,Partner,Single,Male,Industrial/product designer,None,Christian
14,London Course,Vanessa,Cooper,9,Daughter,NA,Female,Student,None,NA
14,London Course,Chelsea,Cooper,7,Daughter,NA,Female,Student,None,NA
14,London Course,Simon,Cooper,6,Son,NA,Male,Student,None,NA
14,London Course,Daniel,Cooper,6,Son,NA,Male,Student,None,NA
15,London Course,June,Saunders,74,Head,Divorced,Female,Retired Television/film/video producer,None,Methodist
16,London Course,Marion,Hill,50,Head,Single,Female,Theme park manager,None,None
16,London Course,Ann,Lewis,64,None,Single,Female,Art gallery manager,None,Christian
16,London Course,Sian,Davies,20,None,Single,Female,University Student,None,None
16,London Course,Philip,Francis,34,None,Single,Male,Teaching laboratory technician,None,Catholic
17,London Course,Lynne,Roberts,54,Head,Married,Female,Barrister's clerk,None,None
17,London Course,Nathan,Roberts,56,Husband,Married,Male,Biomedical scientist,None,None
17,London Course,Brandon,Roberts,22,Son,Widowed,Male,University Student,None,None
17,London Course,Donald,Roberts,17,Son,NA,Male,Student,None,NA
18,London Course,Samantha,Steele,57,Head,Single,Female,"Administrator, charities/voluntary organisations",None,None
18,London Course,Lorraine,Steele,23,Daughter,Single,Female,Horticultural consultant,None,None
18,London Course,Joshua,Steele,22,Son,Single,Male,University Student,None,None
18,London Course,Katherine,Steele,18,Daughter,Single,Female,Student,None,None
19,London Course,Oliver,Wells,49,Head,Married,Male,Ecologist,None,None
19,London Course,Debra,Wells,49,Wife,Married,Female,Homeopath,None,None
19,London Course,Christine,Wells,26,Daughter,Single,Female,Podiatrist,None,None
19,London Course,Gemma,Wells,4,Daughter,NA,Female,Child,None,NA
20,London Course,Kirsty,Hayward,46,Head,Single,Female,"Investment banker, corporate",None,None
20,London Course,Josephine,Hayward,17,Daughter,NA,Female,Student,None,NA
20,London Course,Nicola,Hayward,14,Daughter,NA,Female,Student,None,NA
20,London Course,Hugh,Hayward,11,Son,NA,Male,Student,None,NA
21,London Course,Melanie,Farrell,38,Head,Married,Female,Artist,None,Catholic
21,London Course,Stanley,Farrell,37,Husband,Married,Male,TEFL teacher,None,None
21,London Course,Georgia,Farrell,11,Daughter,NA,Female,Student,None,NA
21,London Course,Norman,Cross,10,Son,NA,Male,Student,None,NA
22,London Course,Joseph,Davies,39,Head,Single,Male,Lexicographer,None,None
22,London Course,Donna,Coates,39,None,Single,Female,Cabin crew,None,None
22,London Course,Rachel,Stevenson,42,None,Single,Female,Maintenance engineer,None,Catholic
22,London Course,Kelly,Reynolds,56,None,Single,Female,Financial controller,None,Christian
22,London Course,Maureen,Matthews,30,None,Divorced,Female,Insurance account manager,None,Methodist
23,London Course,Georgia,Johnson,62,Head,Single,Female,Solicitor,None,Christian
23,London Course,Carole,Johnson,29,Daughter,Divorced,Female,Accounting technician,None,None
24,London Course,Hugh,Williams,48,Head,Single,Male,"Geologist, wellsite",None,None
24,London Course,Julie,Russell,46,Partner,Single,Female,Immunologist,None,None
24,London Course,Anthony,Williams,21,Son,Divorced,Male,University Student,None,None
24,London Course,Damien,Williams,18,Son,Single,Male,Student,None,None
24,London Course,Vanessa,Williams,14,Daughter,NA,Female,Student,None,NA
25,London Course,Rosemary,May,81,Head,Divorced,Female,"Retired Engineer, automotive",None,Methodist
1,Ely Street,Josh,Patel,50,Head,Single,Male,Armed forces technical officer,None,Catholic
2,Ely Street,Roger,Carroll,58,Head,Divorced,Male,Estate manager/land agent,None,Christian
3,Ely Street,Lydia,Cooper,65,Head,Widowed,Female,"Lighting technician, broadcasting/film/video",None,Christian
3,Ely Street,Gail,Cooper,31,Daughter,Single,Female,Field seismologist,None,None
4,Ely Street,Michelle,Kemp,84,Head,Widowed,Female,"Retired Scientist, marine",None,Christian
5,Ely Street,Sarah,Martin,43,Head,Married,Female,Chartered loss adjuster,None,None
5,Ely Street,Hugh,Martin,46,Husband,Married,Male,Geochemist,None,None
6,Ely Street,Jason,White,57,Head,Single,Male,Medical technical officer,None,Christian
6,Ely Street,Rachel,Stephens,55,Partner,Single,Female,"Secretary, company",None,Christian
7,Ely Street,Naomi,Roberts,35,Head,Married,Female,Cartographer,None,Christian
7,Ely Street,Peter,Roberts,40,Husband,Married,Male,Astronomer,None,Christian
7,Ely Street,Roy,Roberts,8,Son,NA,Male,Student,None,NA
8,Ely Street,Grace,Murray,56,Head,Married,Female,Horticultural consultant,None,Methodist
8,Ely Street,Timothy,Murray,60,Husband,Married,Male,"Runner, broadcasting/film/video",None,None
8,Ely Street,Yvonne,Murray,14,Daughter,NA,Female,Student,None,NA
9,Ely Street,Darren,Walsh,57,Head,Single,Male,Sales executive,None,None
9,Ely Street,Cheryl,Gregory,53,Partner,Single,Female,Industrial buyer,None,None
10,Ely Street,Beverley,Hale,61,Head,Divorced,Female,Animal technologist,None,None
10,Ely Street,Gerard,Hale,29,Son,Single,Male,Unemployed,None,None
10,Ely Street,Mandy,Hale,27,Daughter,Single,Female,Animal technologist,None,None
11,Ely Street,Ian,Smith,55,Head,Divorced,Male,Dentist,None,Christian
12,Ely Street,Stephanie,Marsh,25,Head,Single,Female,"Sound technician, broadcasting/film/video",None,Methodist
13,Ely Street,Michael,Allan,30,Head,Single,Male,"Merchandiser, retail",None,None
14,Ely Street,Melanie,Kennedy,78,Head,Widowed,Female,Retired Dealer,None,Methodist
15,Ely Street,Kirsty,Robinson,68,Head,Widowed,Female,Retired Media planner,None,Christian
1,Friary Prairie,Jemma,Green,64,Head,Single,Female,Adult guidance worker,None,Christian
1,Friary Prairie,Connor,Green,38,Son,Single,Male,Agricultural consultant,None,Christian
2,Friary Prairie,Hugh,Evans,61,Head,Single,Male,Commercial art gallery manager,None,Christian
2,Friary Prairie,Abbie,Evans,45,Daughter,Single,Female,Sports development officer,None,Christian
2,Friary Prairie,Mohammed,Evans,38,Son,Single,Male,Fine artist,None,None
2,Friary Prairie,Claire,Evans,38,Daughter,Single,Female,"Engineer, structural",None,None
2,Friary Prairie,Connor,Evans,34,Son,Single,Male,"Surveyor, quantity",None,Christian
3,Friary Prairie,Anne,Waters,39,Head,Married,Female,"Designer, multimedia",None,Christian
3,Friary Prairie,Hugh,Waters,39,Husband,Married,Male,Professor Emeritus,None,Christian
3,Friary Prairie,Diane,Waters,7,Daughter,NA,Female,Student,None,NA
4,Friary Prairie,Jasmine,Powell-Begum,47,Head,Married,Female,Broadcast engineer,None,None
4,Friary Prairie,Glen,Powell-Begum,49,Husband,Married,Male,Barista,None,None
4,Friary Prairie,Jemma,Powell-Begum,11,Daughter,NA,Female,Student,None,NA
5,Friary Prairie,Julie,Stevenson,36,Head,Single,Female,"Accountant, chartered",None,Christian
5,Friary Prairie,Naomi,Stevenson,3,Daughter,NA,Female,Child,None,NA
5,Friary Prairie,Alison,Stevenson,2,Daughter,NA,Female,Child,None,NA
6,Friary Prairie,Irene,Smith,48,Head,Married,Female,Banker,None,Catholic
6,Friary Prairie,Charlie,Smith,47,Husband,Married,Male,Planning and development surveyor,None,Catholic
6,Friary Prairie,Joseph,Smith,16,Son,NA,Male,Student,None,NA
7,Friary Prairie,Jean,Begum,52,Head,Married,Female,Chartered loss adjuster,None,None
7,Friary Prairie,Christopher,Begum,51,Husband,Married,Male,Financial planner,None,None
7,Friary Prairie,Darren,Begum,12,Son,NA,Male,Student,None,NA
1,Dovenip Street,Jack,Patel,70,Head,Divorced,Male,"Retired Surveyor, planning and development",None,None
2,Dovenip Street,Barbara,Mills,32,Head,Single,Female,"Engineer, drilling",None,Catholic
2,Dovenip Street,Billy,Mills,12,Son,NA,Male,Student,None,NA
2,Dovenip Street,Andrea,Mills,6,Daughter,NA,Female,Student,None,NA
2,Dovenip Street,Marcus,Mills,2,Son,NA,Male,Child,None,NA
3,Dovenip Street,Jason,Cook,31,Head,Married,Male,"Restaurant manager, fast food",None,None
3,Dovenip Street,Deborah,Cook,32,Wife,Married,Female,Special educational needs teacher,None,None
3,Dovenip Street,Nicola,Cook,6,Daughter,NA,Female,Student,None,NA
4,Dovenip Street,Bryan,Carey,63,Head,Married,Male,Glass blower/designer,None,Methodist
4,Dovenip Street,Eleanor,Carey,61,Wife,Married,Female,"Journalist, newspaper",None,None
5,Dovenip Street,Geraldine,Sanderson,61,Head,Divorced,Female,Estate manager/land agent,None,Muslim
5,Dovenip Street,Katie,Moss,40,None,Single,Female,"Engineer, building services",None,None
5,Dovenip Street,Alison,Lambert,30,None,Single,Female,Charity fundraiser,None,Catholic
6,Dovenip Street,Nicola,Donnelly,35,Head,Married,Female,Cytogeneticist,None,None
6,Dovenip Street,Kenneth,Donnelly,34,Husband,Married,Male,Physiotherapist,None,None
6,Dovenip Street,Stacey,Donnelly,9,Daughter,NA,Female,Student,None,NA
7,Dovenip Street,Denise,Ellis,65,Head,Married,Female,Camera operator,None,None
7,Dovenip Street,Jack,Burgess,65,Husband,Married,Male,Unemployed,None,None
7,Dovenip Street,Amanda,Walker-Ellis,29,Daughter,Divorced,Female,"Designer, exhibition/display",None,None
7,Dovenip Street,Simon,Walker-Ellis,22,Son,Single,Male,Administrator,None,None
8,Dovenip Street,Karen,Sheppard,57,Head,Married,Female,Insurance broker,None,Catholic
8,Dovenip Street,Andrew,Sheppard,65,Husband,Married,Male,"Psychologist, counselling",None,None
8,Dovenip Street,Christopher,Sheppard,19,Son,Divorced,Male,University Student,None,Catholic
8,Dovenip Street,Roy,Sheppard,15,Son,NA,Male,Student,None,NA
8,Dovenip Street,Robin,Collins,12,Son,NA,Male,Student,None,NA
9,Dovenip Street,Marion,Davis,44,Head,Married,Female,Forensic psychologist,None,Catholic
9,Dovenip Street,Daniel,Davis,47,Husband,Married,Male,Occupational psychologist,None,Catholic
9,Dovenip Street,Laura,Davis,15,Daughter,NA,Female,Student,None,NA
9,Dovenip Street,Katie,Davis,13,Daughter,NA,Female,Student,None,NA
9,Dovenip Street,Kimberley,Davis,11,Daughter,NA,Female,Student,None,NA
10,Dovenip Street,Dale,Thomas,79,Head,Married,Male,Retired Product/process development scientist,None,None
10,Dovenip Street,Anna,Thomas,71,Wife,Married,Female,"Retired Editor, magazine features",None,None
11,Dovenip Street,June,Scott,52,Head,Divorced,Female,Unemployed,None,Christian
11,Dovenip Street,Jake,Scott,21,Son,Divorced,Male,University Student,None,None
11,Dovenip Street,Phillip,Scott,17,Son,NA,Male,Student,None,NA
11,Dovenip Street,Rachel,Scott,16,Daughter,NA,Female,Student,None,NA
12,Dovenip Street,Abigail,Parry,27,Head,Married,Female,Acupuncturist,None,Catholic
12,Dovenip Street,Matthew,Parry,32,Husband,Married,Male,Ceramics designer,None,Catholic
12,Dovenip Street,Gary,Parry,7,Son,NA,Male,Student,None,NA
13,Dovenip Street,Bethan,Brown,57,Head,Married,Female,"Buyer, industrial",None,Christian
13,Dovenip Street,Matthew,Brown,58,Husband,Married,Male,"Engineer, production",None,Christian
13,Dovenip Street,Lydia,Brown,34,Daughter,Single,Female,"Therapist, occupational",None,None
1,Mitchell Harbor,Abigail,Phillips,47,Head,Married,Female,"Surveyor, land/geomatics",None,Christian
1,Mitchell Harbor,Mohammed,Phillips,49,Husband,Married,Male,"Geologist, engineering",None,Christian
1,Mitchell Harbor,Shane,Phillips,12,Son,NA,Male,Student,None,NA
2,Mitchell Harbor,Lauren,Griffiths,41,Head,Single,Female,Tree surgeon,None,None
2,Mitchell Harbor,Geoffrey,Griffiths,15,Son,NA,Male,Student,None,NA
3,Mitchell Harbor,Lydia,Lawson,38,Head,Single,Female,Chief Marketing Officer,None,None
3,Mitchell Harbor,Craig,McDonald,40,Partner,Single,Male,English as a foreign language teacher,None,None
3,Mitchell Harbor,Hilary,Lawson,6,Daughter,NA,Female,Student,None,NA
4,Mitchell Harbor,Claire,Lewis,46,Head,Married,Female,"Nurse, adult",None,Christian
4,Mitchell Harbor,Leon,Lewis,46,Husband,Married,Male,Operational researcher,None,None
4,Mitchell Harbor,Emma,Lewis,21,Daughter,Single,Female,University Student,None,Christian
4,Mitchell Harbor,Hilary,Lewis,17,Daughter,NA,Female,Student,None,NA
5,Mitchell Harbor,Caroline,Gibbs,64,Head,Married,Female,Product manager,None,None
5,Mitchell Harbor,Stanley,Gibbs,68,Husband,Married,Male,"Retired Psychologist, occupational",None,None
5,Mitchell Harbor,Daniel,Gibbs,35,Son,Divorced,Male,Company secretary,None,None
5,Mitchell Harbor,Ricky,Ward-Gibbs,33,Son,Single,Male,Armed forces logistics/support/administrative officer,None,None
6,Mitchell Harbor,Garry,Glover,71,Head,Divorced,Male,Retired Geoscientist,None,Christian
6,Mitchell Harbor,Abigail,Glover,28,Daughter,Single,Female,Telecommunications researcher,None,None
6,Mitchell Harbor,Kim,Glover,21,Daughter,Single,Female,University Student,None,None
6,Mitchell Harbor,Julia,Glover,21,Daughter,Single,Female,University Student,None,Christian
6,Mitchell Harbor,Danielle,Glover,21,Daughter,Single,Female,Telecommunications researcher,None,Christian
1,Mitchell Crescent,Elizabeth,Evans,74,Head,Married,Female,Retired Environmental health practitioner,None,None
1,Mitchell Crescent,Alexander,Evans,75,Husband,Married,Male,"Retired Pilot, airline",None,None
1,Mitchell Crescent,Chelsea,Sullivan-Evans,42,Daughter,Single,Female,Unemployed,None,None
1,Mitchell Crescent,Douglas,Sullivan-Evans,41,Son,Single,Male,Management consultant,None,None
1,Mitchell Crescent,Marcus,Sullivan-Evans,37,Son,Divorced,Male,Building surveyor,None,None
2,Mitchell Crescent,Valerie,Wheeler,21,Head,Divorced,Female,University Student,None,Methodist
2,Mitchell Crescent,Hayley,Wheeler,1,Daughter,NA,Female,Child,None,NA
2,Mitchell Crescent,Rosemary,Chapman-Wheeler,0,Daughter,NA,Female,Child,None,NA
3,Mitchell Crescent,Georgina,Kelly,46,Head,Single,Female,Unemployed,None,Agnostic
3,Mitchell Crescent,Yvonne,Kelly,10,Daughter,NA,Female,Student,Physical Disability,NA
3,Mitchell Crescent,Jennifer,Kelly,7,Daughter,NA,Female,Student,None,NA
4,Mitchell Crescent,Rachel,Ward,42,Head,Married,Female,Aid worker,None,Muslim
4,Mitchell Crescent,David,Ward,48,Husband,Married,Male,Dramatherapist,None,None
4,Mitchell Crescent,Carly,Griffiths,8,Daughter,NA,Female,Student,None,NA
5,Mitchell Crescent,Rosemary,Jenkins,39,Head,Single,Female,Unemployed,None,None
5,Mitchell Crescent,Bradley,Jenkins,10,Son,NA,Male,Student,None,NA
5,Mitchell Crescent,Sophie,Jenkins,10,Daughter,NA,Female,Student,None,NA
5,Mitchell Crescent,Janet,Jenkins,10,Daughter,NA,Female,Student,None,NA
6,Mitchell Crescent,Tracey,Duncan,51,Head,Single,Female,Unemployed,None,Christian
6,Mitchell Crescent,Kenneth,Duncan,23,Son,Divorced,Male,"Engineer, petroleum",None,Christian
6,Mitchell Crescent,Edward,Duncan,19,Son,Single,Male,University Student,None,None
6,Mitchell Crescent,Lesley,Duncan,17,Daughter,NA,Female,Student,None,NA
7,Mitchell Crescent,Diana,Cooper,39,Head,Married,Female,Environmental manager,None,None
7,Mitchell Crescent,Dominic,Cooper,39,Husband,Married,Male,"Buyer, retail",None,None
7,Mitchell Crescent,Gillian,Cooper,5,Daughter,NA,Female,Student,None,NA
8,Mitchell Crescent,Nicholas,Lee,66,Head,Married,Male,Health physicist,None,Christian
8,Mitchell Crescent,Maureen,Lee,64,Wife,Married,Female,Unemployed,None,Christian
8,Mitchell Crescent,Debra,Rees,7,Granddaughter,NA,Female,Student,None,NA
9,Mitchell Crescent,Graham,Whitehead,63,Head,Married,Male,Copy,None,Christian
9,Mitchell Crescent,Leah,Whitehead,61,Wife,Married,Female,"Administrator, sports",None,Christian
9,Mitchell Crescent,Abbie,Whitehead,10,Adopted Granddaughter,NA,Female,Student,None,NA
10,Mitchell Crescent,Katherine,Todd,44,Head,Single,Female,Product designer,None,Catholic
10,Mitchell Crescent,Oliver,Robertson,46,Partner,Single,Male,"Pilot, airline",None,None
10,Mitchell Crescent,Sam,Todd,10,Son,NA,Male,Student,None,NA
11,Mitchell Crescent,Helen,Shepherd,51,Head,Single,Female,Theme park manager,None,Christian
11,Mitchell Crescent,Terence,Rees,52,Partner,Single,Male,Restaurant manager,None,Christian
11,Mitchell Crescent,Kelly,Shepherd,15,Daughter,NA,Female,Student,None,NA
12,Mitchell Crescent,Kevin,Francis,22,Head,Single,Male,University Student,None,None
12,Mitchell Crescent,Geraldine,Atkinson,46,None,Single,Female,Chief Executive Officer,None,Methodist
12,Mitchell Crescent,Georgia,Williams,60,None,Single,Female,"Accountant, chartered",None,None
12,Mitchell Crescent,Trevor,Randall,62,None,Single,Male,Learning mentor,None,Christian
12,Mitchell Crescent,Roy,Parkes,62,None,Single,Male,Estate manager/land agent,None,Christian
13,Mitchell Crescent,Jayne,Holt,68,Head,Widowed,Female,Retired Production manager,None,None
13,Mitchell Crescent,Paula,Holt,31,Daughter,Single,Female,Marketing executive,None,None
13,Mitchell Crescent,Emily,Holt,28,Daughter,Single,Female,Drilling engineer,None,None
13,Mitchell Crescent,Marion,Holt,25,Daughter,Single,Female,Unemployed,None,None
14,Mitchell Crescent,Jenna,Williams,23,Head,Single,Female,"Engineer, technical sales",None,None
14,Mitchell Crescent,Owen,Parsons,52,None,Single,Male,Police officer,None,Methodist
14,Mitchell Crescent,Leanne,Ward,56,None,Single,Female,Oceanographer,None,Christian
15,Mitchell Crescent,Kirsty,Khan,72,Head,Widowed,Female,Retired Exhibition designer,None,Christian
16,Mitchell Crescent,Lawrence,Turnbull,30,Head,Married,Male,Water quality scientist,None,None
16,Mitchell Crescent,Ashleigh,Turnbull,32,Wife,Married,Female,"Nurse, adult",None,None
16,Mitchell Crescent,Claire,Turnbull,8,Daughter,NA,Female,Student,None,NA
16,Mitchell Crescent,Jason,Turnbull,5,Son,NA,Male,Student,None,NA
17,Mitchell Crescent,Rebecca,Rowe,33,Head,Divorced,Female,"Horticulturist, amenity",None,Muslim
17,Mitchell Crescent,Graham,Rowe,17,Son,NA,Male,Student,None,NA
17,Mitchell Crescent,Mathew,Rowe,13,Son,NA,Male,Student,None,NA
17,Mitchell Crescent,Adrian,Rowe,10,Son,NA,Male,Student,None,NA
17,Mitchell Crescent,Brenda,Rowe,8,Daughter,NA,Female,Student,None,NA
1,Clark Views,Kathryn,Walsh,18,Head,Married,Female,Student,None,NA
1,Clark Views,Nigel,Walsh,23,Husband,Married,Male,Mudlogger,None,NA
2,Clark Views,Susan,Allen,54,Head,Married,Female,"Accountant, chartered public finance",None,Christian
2,Clark Views,Adrian,Allen,53,Husband,Married,Male,Financial risk analyst,None,None
2,Clark Views,Trevor,Allen,17,Son,NA,Male,Student,None,NA
2,Clark Views,Connor,Allen,14,Son,NA,Male,Student,None,NA
2,Clark Views,Stephanie,Allen,12,Daughter,NA,Female,Student,None,NA
3,Clark Views,Nicola,Matthews,34,Head,Married,Female,Agricultural engineer,None,Christian
3,Clark Views,Craig,Matthews,32,Husband,Married,Male,Television/film/video producer,None,None
3,Clark Views,Clifford,Matthews,15,Son,NA,Male,Student,None,NA
3,Clark Views,Nigel,Matthews,12,Son,NA,Male,Student,None,NA
3,Clark Views,Stuart,Matthews,9,Son,NA,Male,Student,None,NA
4,Clark Views,Sylvia,Taylor,21,Head,Single,Female,University Student,None,Catholic
4,Clark Views,Georgia,Dawson,18,None,Single,Female,University Student,None,Catholic
5,Clark Views,Teresa,Taylor,48,Head,Married,Female,Research scientist (physical sciences),None,Methodist
5,Clark Views,Callum,Taylor,49,Husband,Married,Male,Publishing rights manager,None,Methodist
6,Clark Views,Beverley,Brookes,37,Head,Married,Female,Tourist information centre manager,None,Catholic
6,Clark Views,Dominic,Brookes,39,Husband,Married,Male,Advice worker,None,Catholic
6,Clark Views,Shannon,Brookes,13,Daughter,NA,Female,Student,None,NA
7,Clark Views,Molly,Lloyd,58,Head,Single,Female,"Engineer, aeronautical",None,Christian
7,Clark Views,Rhys,Bird,54,Partner,Single,Male,Television/film/video producer,None,Christian
8,Clark Views,Joanna,Jones,31,Head,Single,Female,Unemployed,None,Christian
8,Clark Views,Clare,Jones,6,Daughter,NA,Female,Student,None,NA
9,Clark Views,Jeremy,Coleman,57,Head,Single,Male,Trade mark attorney,None,None
1,Shaw Run,Chelsea,Mahmood,45,Head,Married,Female,Games developer,None,Christian
1,Shaw Run,Joshua,Mahmood,46,Husband,Married,Male,Financial planner,None,None
1,Shaw Run,Gordon,Mahmood,14,Son,NA,Male,Student,None,NA
1,Shaw Run,Lee,Mahmood,8,Son,NA,Male,Student,None,NA
2,Shaw Run,Jayne,Wright,65,Head,Divorced,Female,Unemployed,None,Christian
2,Shaw Run,Marion,Wright,39,Daughter,Single,Female,"Pilot, airline",None,Christian
2,Shaw Run,Reece,Wright,35,Son,Single,Male,English as a second language teacher,None,Christian
3,Shaw Run,Gemma,White,79,Head,Married,Female,Retired Advertising art director,None,Christian
3,Shaw Run,Connor,White,79,Husband,Married,Male,Retired Acupuncturist,None,Christian
3,Shaw Run,Anne,White,35,Adopted Daughter,Divorced,Female,Health and safety inspector,None,None
3,Shaw Run,Marilyn,White,33,Daughter,Divorced,Female,"Editor, film/video",None,Christian
4,Shaw Run,Marcus,Smith,40,Head,Married,Male,Web designer,None,Christian
4,Shaw Run,Gillian,Smith,38,Wife,Married,Female,"Research officer, government",None,Christian
4,Shaw Run,Glen,Smith,13,Son,NA,Male,Student,None,NA
4,Shaw Run,Cameron,Smith,10,Son,NA,Male,Student,None,NA
5,Shaw Run,Helen,Iqbal,22,Head,Married,Female,University Student,None,None
5,Shaw Run,Stuart,Iqbal,22,Husband,Married,Male,"Scientist, biomedical",None,None
6,Shaw Run,Diane,Dale,34,Head,Single,Female,"Presenter, broadcasting",None,Orthodoxy
7,Shaw Run,Carol,Smith,36,Head,Single,Female,Unemployed,None,Christian
7,Shaw Run,Wayne,Simmons,38,Partner,Single,Male,"Teacher, English as a foreign language",None,Christian
7,Shaw Run,Grace,Smith,12,Daughter,NA,Female,Student,None,NA
8,Shaw Run,Molly,Wood,39,Head,Married,Female,Unemployed,None,None
8,Shaw Run,Maurice,Wood,41,Husband,Married,Male,Environmental consultant,None,None
8,Shaw Run,Maria,Wood,23,Daughter,Single,Female,"Psychologist, forensic",None,None
9,Shaw Run,Holly,Johnson,32,Head,Single,Female,Food technologist,None,None
9,Shaw Run,Gavin,Clark,18,None,Single,Male,Student,None,NA
10,Shaw Run,Clare,Fuller,32,Head,Married,Female,Contracting civil engineer,None,None
10,Shaw Run,Mohammad,Fuller,37,Husband,Married,Male,Advertising account executive,None,None
11,Shaw Run,Lydia,Smart,59,Head,Married,Female,Industrial/product designer,None,Christian
11,Shaw Run,Louis,Smart,60,Husband,Married,Male,Hydrogeologist,None,Christian
11,Shaw Run,Leah,Smart,33,Daughter,Divorced,Female,Secondary school teacher,None,None
11,Shaw Run,Liam,Smart,30,Son,Single,Male,"Nurse, learning disability",None,Christian
12,Shaw Run,Amber,Clarke,45,Head,Married,Female,Building services engineer,None,None
12,Shaw Run,Roy,Clarke,50,Husband,Married,Male,Banker,None,None
12,Shaw Run,Glen,Clarke,7,Son,NA,Male,Student,None,NA
13,Shaw Run,Dawn,Cooper,78,Head,Widowed,Female,Retired Brewing technologist,None,None
14,Shaw Run,Charlotte,Slater,41,Head,Married,Female,"Lecturer, higher education",None,Christian
14,Shaw Run,Jeffrey,Slater,48,Husband,Married,Male,English as a second language teacher,None,None
14,Shaw Run,Amber,Slater,17,Daughter,NA,Female,Student,None,NA
15,Shaw Run,Kirsty,Collins,25,Head,Single,Female,"Engineer, electronics",None,Christian
15,Shaw Run,Rhys,Francis,55,None,Single,Male,"Designer, television/film set",None,Christian
15,Shaw Run,Liam,White,44,None,Single,Male,Social researcher,None,Catholic
16,Shaw Run,Amelia,Brown,57,Head,Married,Female,"Engineer, building services",None,None
16,Shaw Run,Philip,Brown,62,Husband,Married,Male,Automotive engineer,None,None
16,Shaw Run,Samuel,Brown,24,Son,Divorced,Male,"Radiographer, diagnostic",None,None
16,Shaw Run,Tony,Brown,5,Son,NA,Male,Student,None,NA
17,Shaw Run,Kelly,Williams,45,Head,Married,Female,Maintenance engineer,None,Catholic
17,Shaw Run,Declan,Williams,47,Husband,Married,Male,"Surveyor, insurance",None,Catholic
17,Shaw Run,Rosie,Williams,21,Daughter,Divorced,Female,University Student,None,None
17,Shaw Run,Bruce,Williams,16,Son,NA,Male,Student,None,NA
18,Shaw Run,Rachel,Kent,54,Head,Widowed,Female,Land,None,Christian
18,Shaw Run,Kathryn,Kent,17,Daughter,NA,Female,Student,None,NA
19,Shaw Run,Patrick,Bowen,80,Head,Married,Male,Retired Special educational needs teacher,None,None
19,Shaw Run,Heather,Bowen,78,Wife,Married,Female,"Retired Pharmacist, hospital",None,Methodist
19,Shaw Run,Carly,Bowen,4,Granddaughter,NA,Female,Child,None,NA
20,Shaw Run,Maureen,Atkins,41,Head,Married,Female,Equality and diversity officer,None,Catholic
20,Shaw Run,Sean,Atkins,43,Husband,Married,Male,Unemployed,None,None
20,Shaw Run,Alison,Atkins,15,Daughter,NA,Female,Student,None,NA
21,Shaw Run,Beverley,Henderson,43,Head,Divorced,Female,Press sub,None,None
21,Shaw Run,Louise,Henderson,6,Daughter,NA,Female,Student,None,NA
22,Shaw Run,Maria,Griffiths,47,Head,Married,Female,Medical secretary,None,Christian
22,Shaw Run,Paige,Griffiths,49,Wife,Married,Female,Ranger/warden,None,Christian
22,Shaw Run,Stewart,Griffiths,16,Son,NA,Male,Student,None,NA
1,Paladinbelt Street,Guy,McLean,23,Head,Single,Male,Materials engineer,None,None
1,Paladinbelt Street,Damien,Sharpe,35,None,Single,Male,Dramatherapist,None,None
1,Paladinbelt Street,Kayleigh,Tyler,27,None,Single,Female,"Nurse, children's",None,None
1,Paladinbelt Street,Nicole,Bennett,34,None,Single,Female,"Surveyor, insurance",None,Catholic
1,Paladinbelt Street,Gerard,Khan,53,None,Single,Male,Intelligence analyst,None,Christian
2,Paladinbelt Street,Kieran,Green,51,Head,Single,Male,"Engineer, aeronautical",None,Christian
